emp_no,first_name,last_name,dept_name
293814,Barton,Bach,Sales
298704,Cedric,Bach,Sales
477679,Chenye,Bach,Sales
215277,Ewing,Bach,Sales
294319,Geoffry,Bach,Sales
407240,Khue,Bach,Sales
217188,Leszek,Bach,Sales
108406,Patricia,Bach,Sales
57520,Serif,Bach,Sales
279661,Xiadong,Bach,Sales
409983,Yinghua,Bach,Sales
285988,Perla,Back,Sales
245835,Peternela,Back,Sales
89690,Sukumar,Back,Sales
449507,Teruyuki,Back,Sales
67845,Xuejun,Back,Sales
409153,Arie,Backhouse,Sales
434895,Dipankar,Backhouse,Sales
459013,Evgueni,Backhouse,Sales
250612,Hidekazu,Backhouse,Sales
479167,Mayuri,Backhouse,Sales
18369,Pintsang,Backhouse,Sales
403296,Seongbae,Backhouse,Sales
407565,Shuky,Backhouse,Sales
423966,Harjit,Badache,Sales
234777,Hitofumi,Badache,Sales
86037,Khaled,Badache,Sales
107097,Kitty,Badache,Sales
285087,Masako,Badache,Sales
458266,Shahid,Badache,Sales
479603,Surveyors,Badache,Sales
272541,Arie,Bade,Sales
452792,Dmitry,Bade,Sales
222598,Lokesh,Bade,Sales
52252,Moty,Bade,Sales
267781,Nathan,Bade,Sales
259160,Marsha,Badr,Sales
85866,Dinkar,Baek,Sales
86399,Guozhong,Baek,Sales
469091,Karlis,Baek,Sales
263525,Reinhard,Baek,Sales
58337,Tooru,Baek,Sales
452911,Augustine,Bael,Sales
220998,Eckart,Bael,Sales
461625,Margareta,Bael,Sales
12651,Pragnesh,Bael,Sales
276072,Youjian,Bael,Sales
40245,Yucai,Bael,Sales
235740,Arco,Baer,Sales
281505,Babette,Baer,Sales
435630,Dines,Baer,Sales
10302,Faiza,Baer,Sales
225661,Hairong,Baer,Sales
297795,Aksel,Baez,Sales
408277,Bokyung,Baez,Sales
446244,Denis,Baez,Sales
288209,Elvia,Baez,Sales
490250,Elvis,Baez,Sales
231858,Geoffry,Baez,Sales
473232,Jagoda,Baez,Sales
72836,Sadun,Baez,Sales
103782,Sigeru,Baez,Sales
281547,Vidar,Baez,Sales
297592,Goncalo,Baezner,Sales
407653,Hitomi,Baezner,Sales
26682,Yucai,Baezner,Sales
479293,Chandrasekaran,Bage,Sales
38553,Dinkar,Bage,Sales
485244,George,Bage,Sales
439533,Kerryn,Bage,Sales
94172,Ronnie,Bage,Sales
443411,Behnaam,Bahi,Sales
27282,Xiaobin,Bahi,Sales
78447,Chiranjit,Bahk,Sales
220459,Ekawit,Bahk,Sales
54123,Kien,Bahk,Sales
78524,Zhiwei,Bahk,Sales
109740,Jacqueline,Bahl,Sales
444508,Kaijung,Bahl,Sales
477480,Lein,Bahl,Sales
74151,Munehiro,Bahl,Sales
249306,Sadok,Bahl,Sales
484568,Alexius,Bahr,Sales
456600,Berhard,Bahr,Sales
463921,Lalit,Bahr,Sales
19113,Persi,Bahr,Sales
26172,Sedat,Bahr,Sales
404996,Gay,Baig,Sales
105800,Golgen,Baig,Sales
67570,Odysseas,Baig,Sales
493642,Sanjai,Baig,Sales
451416,Tru,Baig,Sales
232201,Weicheng,Baig,Sales
294930,Remmert,Baik,Sales
254064,Yishai,Baik,Sales
266542,Shim,Bail,Sales
41140,Tonny,Bail,Sales
256707,Breannda,Bain,Sales
241031,Kauko,Bain,Sales
240684,Masaki,Bain,Sales
457051,Rosli,Bain,Sales
204220,Xiaoshan,Bain,Sales
243215,Yakichi,Bain,Sales
285061,Babette,Baja,Sales
462760,Chenye,Baja,Sales
260144,Fun,Baja,Sales
94680,Teruyuki,Baja,Sales
430859,Gritta,Bakhtari,Sales
425860,JoAnna,Bakhtari,Sales
248905,Sandeepan,Bakhtari,Sales
19134,Seongbin,Bakhtari,Sales
73687,Zito,Bakhtari,Sales
448440,Idoia,Bala,Sales
80466,Takahiro,Bala,Sales
50995,Ugo,Bala,Sales
211427,Yechiam,Bala,Sales
424995,Jouni,Bale,Sales
277853,Manibrata,Bale,Sales
232098,Margareta,Bale,Sales
263000,Mayuko,Bale,Sales
107293,Haldon,Ballarin,Sales
255844,Vishv,Bamford,Sales
455230,Manohar,Baranowski,Sales
262550,Masako,Baranowski,Sales
17146,Aemilian,Barbanera,Sales
26623,Berni,Barbanera,Sales
13186,Kyoichi,Barbanera,Sales
256769,Shiv,Barbanera,Sales
31595,Stevo,Barbanera,Sales
23532,Duke,Bardell,Sales
437425,Ennio,Bardell,Sales
292281,Lakshmi,Bardell,Sales
21612,Martial,Bardell,Sales
468296,Shan,Bardell,Sales
101628,Sudharsan,Bardell,Sales
56382,Valery,Bardell,Sales
412560,Mari,Barinka,Sales
273067,Matk,Barinka,Sales
295351,Niranjan,Barinka,Sales
46124,Shunichi,Barinka,Sales
420591,Masoud,Barreiro,Sales
45432,Richard,Barreiro,Sales
14513,Samphel,Barreiro,Sales
251883,Trygve,Barreiro,Sales
264019,Ulises,Barreiro,Sales
12128,Yannik,Barreiro,Sales
283847,Fai,Barriga,Sales
28344,Fan,Barriga,Sales
412951,Paris,Barriga,Sales
262557,Rosalie,Barriga,Sales
14888,Temple,Barriga,Sales
482820,Weiye,Barriga,Sales
250528,Abdulla,Barvinok,Sales
208689,Hideo,Barvinok,Sales
427988,Martial,Barvinok,Sales
97468,Ramalingam,Barvinok,Sales
75201,Boguslaw,Basagni,Sales
228587,Katsuo,Basagni,Sales
220119,Kauko,Basagni,Sales
201191,Kitty,Basagni,Sales
72727,Lunjin,Basagni,Sales
455957,Mack,Basagni,Sales
207512,Valeska,Basagni,Sales
298333,Huican,Basart,Sales
269117,Pranav,Basart,Sales
76562,Renee,Basart,Sales
69637,Tse,Basart,Sales
47763,Yagil,Basart,Sales
200809,Arvin,Basawa,Sales
238360,Demin,Basawa,Sales
272947,Kirk,Basawa,Sales
459173,Lein,Basawa,Sales
33812,Patricio,Basawa,Sales
405294,Shigenori,Basawa,Sales
453837,Shrikanth,Basawa,Sales
11515,Ulf,Basawa,Sales
435354,Bowen,Bashian,Sales
298137,Cathie,Bashian,Sales
469108,Constantino,Bashian,Sales
487796,Gunilla,Bashian,Sales
458384,Rutger,Bashian,Sales
80744,Badri,Bauknecht,Sales
217350,Bernardo,Bauknecht,Sales
267124,Kwangsub,Bauknecht,Sales
210985,Reinhard,Bauknecht,Sales
454951,Weiye,Bauknecht,Sales
245528,Kristinn,Baumann,Sales
258595,Sadun,Baumann,Sales
256657,Terresa,Baumann,Sales
293693,Tokuyasu,Baumann,Sales
488928,Adel,Bazelow,Sales
442802,Angus,Bazelow,Sales
441628,Lubomir,Bazelow,Sales
76590,Mats,Bazelow,Sales
471679,Suzette,Bazelow,Sales
464346,Bernardo,Bazzichi,Sales
252924,Kazuhisa,Bazzichi,Sales
239728,Nalini,Bazzichi,Sales
412871,Yucel,Bazzichi,Sales
410265,Alper,Beausoleil,Sales
252703,Barna,Beausoleil,Sales
281768,Eckart,Beausoleil,Sales
410117,Fumiyo,Beausoleil,Sales
100686,True,Beausoleil,Sales
270735,Yucai,Beausoleil,Sales
281293,Chikara,Bednarek,Sales
81849,Debatosh,Bednarek,Sales
107330,Navid,Bednarek,Sales
220956,Dannz,Beerel,Sales
226782,Jaber,Beerel,Sales
409777,Jenwei,Beerel,Sales
232078,Susuma,Beerel,Sales
22783,Takahiro,Beerel,Sales
78116,Tokuyasu,Beerel,Sales
230156,Bernt,Beeson,Sales
12798,Lillian,Beeson,Sales
415483,Marko,Beeson,Sales
471375,Youssef,Beeson,Sales
65835,Arra,Beetstra,Sales
105852,Filipe,Beetstra,Sales
411834,Fusako,Beetstra,Sales
281345,Giordano,Beetstra,Sales
481296,Dmitri,Begiun,Sales
91113,Goncalo,Begiun,Sales
75489,Mani,Begiun,Sales
453766,Vatsa,Begiun,Sales
480845,Adamantios,Beidas,Sales
13392,Fumitake,Beidas,Sales
210554,Piyawadee,Beidas,Sales
74166,Shawna,Beidas,Sales
39966,Utpal,Beidas,Sales
83468,Charlene,Beilner,Sales
482776,Kristin,Beilner,Sales
236417,Nikolaus,Beilner,Sales
412737,Pantung,Beilner,Sales
420034,Pascal,Beilner,Sales
255971,Xianlong,Beilner,Sales
214970,Arfst,Belinskaya,Sales
493181,Kwangjo,Belinskaya,Sales
276850,Malu,Belinskaya,Sales
404055,Weiru,Belinskaya,Sales
410356,Yongqiao,Belinskaya,Sales
70610,Djelloul,Bellmore,Sales
222573,Gadiel,Bellmore,Sales
55996,Stamatina,Bellmore,Sales
468524,Geraldo,Bellone,Sales
222330,Gor,Bellone,Sales
496039,Masamitsu,Bellone,Sales
436254,Tsutomu,Bellone,Sales
219649,Margo,Benaini,Sales
287123,Marko,Benaini,Sales
40226,Hyuncheol,Benantar,Sales
264649,Kwee,Benantar,Sales
485053,Tokuyasu,Benantar,Sales
226067,Baruch,Benner,Sales
75061,Jeanne,Benner,Sales
202271,Josyula,Benner,Sales
39933,Deborah,Bennet,Sales
100574,Lucien,Bennet,Sales
19147,Chaitali,Bennis,Sales
490215,Dannz,Bennis,Sales
108070,Khoa,Bennis,Sales
401608,Fumiyo,Benveniste,Sales
70538,Pascal,Benveniste,Sales
437806,Valdiodio,Benveniste,Sales
457849,Vugranam,Benveniste,Sales
232569,Boalin,Benzaken,Sales
65448,Menkae,Benzaken,Sales
38252,Tadahiro,Benzaken,Sales
206181,Yagil,Benzaken,Sales
25003,Dietrich,Benzmuller,Sales
424946,Gian,Benzmuller,Sales
50478,Leni,Benzmuller,Sales
488969,Remko,Benzmuller,Sales
246717,Sham,Benzmuller,Sales
90051,Venkatesan,Benzmuller,Sales
421111,Ziva,Benzmuller,Sales
82573,Genevieve,Berendt,Sales
13786,Takushi,Berendt,Sales
59380,Zvonko,Berendt,Sales
413642,Elliott,Bergere,Sales
249958,Marjo,Bergere,Sales
29120,Parto,Bergere,Sales
210044,Ymte,Bergere,Sales
444034,Jackson,Bernardeschi,Sales
447719,Jinya,Bernardeschi,Sales
37454,KayLiang,Bernardeschi,Sales
19419,Palash,Bernardeschi,Sales
496579,Rayond,Bernardeschi,Sales
427028,Saddek,Bernardeschi,Sales
15271,Shiv,Bernardeschi,Sales
50285,Utz,Bernardeschi,Sales
402920,Peternela,Bernardinello,Sales
424252,Shirish,Bernardinello,Sales
103276,Takahito,Bernardinello,Sales
29729,Alassane,Bernatsky,Sales
243494,Dannz,Bernatsky,Sales
421388,Elzbieta,Bernatsky,Sales
222147,Hitomi,Bernatsky,Sales
202014,Mara,Bernatsky,Sales
45973,Mokhtar,Bernatsky,Sales
53204,Nirmal,Bernatsky,Sales
74684,Oguz,Bernatsky,Sales
263002,Ramzi,Bernatsky,Sales
274282,Saeko,Bernatsky,Sales
85537,Tzu,Bernatsky,Sales
412141,Arun,Bernick,Sales
107406,Chanjung,Bernick,Sales
43678,Shawna,Bernick,Sales
232526,Stepehn,Bernick,Sales
218217,Wuxu,Bernick,Sales
31429,Matk,Bernini,Sales
230480,Udo,Bernini,Sales
269924,Francoise,Berstel,Sales
81303,Ghassan,Berstel,Sales
404171,Richara,Berstel,Sales
53459,Salvador,Berstel,Sales
263913,Sampalli,Berstel,Sales
85201,Taiji,Berstel,Sales
298077,Marek,Berztiss,Sales
67609,Poornachandra,Berztiss,Sales
483904,Xiaoqiang,Berztiss,Sales
79049,Lijie,Besancenot,Sales
29250,Radoslaw,Besancenot,Sales
44454,Toshimo,Besancenot,Sales
98183,Masami,Besselaar,Sales
238131,Wojceich,Besselaar,Sales
449237,Conal,Beutelspacher,Sales
75530,Martial,Beutelspacher,Sales
50204,Mayuko,Beutelspacher,Sales
91325,Phillip,Beutelspacher,Sales
26086,Turgut,Beutelspacher,Sales
464022,Bartek,Beznosov,Sales
200247,Chaoyi,Beznosov,Sales
41857,Munehiko,Beznosov,Sales
468624,Nalini,Beznosov,Sales
82392,Susuma,Beznosov,Sales
274574,Chirstian,Bharadwaj,Sales
66624,Huiqun,Bharadwaj,Sales
107693,Kenton,Bharadwaj,Sales
209015,Xumin,Bharadwaj,Sales
79073,Almudena,Bhattacharjee,Sales
402331,Hidefumi,Bhattacharjee,Sales
494722,Joydip,Bhattacharjee,Sales
28373,Steen,Bhattacharjee,Sales
240559,Yinlin,Bhattacharjee,Sales
461102,Zengping,Bhattacharjee,Sales
231057,Ziyad,Bhattacharjee,Sales
426428,Aloke,Bierbaum,Sales
51121,Debaprosad,Bierbaum,Sales
41428,Shai,Bierbaum,Sales
210620,Anyuan,Bierman,Sales
51520,Goh,Bierman,Sales
461295,Insup,Bierman,Sales
255143,Jessie,Bierman,Sales
469731,Ramya,Bierman,Sales
248312,Sanjit,Bierman,Sales
464708,Taizo,Bierman,Sales
61486,Weiye,Bierman,Sales
421698,Flemming,Billawala,Sales
13213,Hein,Billawala,Sales
232995,Jixiang,Billawala,Sales
411643,Kankanahalli,Billawala,Sales
58396,Kenton,Billawala,Sales
260727,Nalini,Billawala,Sales
36448,Pantung,Billawala,Sales
279433,Tetsurou,Billawala,Sales
483262,Vivian,Billawala,Sales
450860,Angus,Billingsley,Sales
246655,Edwin,Billingsley,Sales
90862,Masadi,Billingsley,Sales
449903,Teruyuki,Billingsley,Sales
235225,Aloke,Binding,Sales
201878,Mani,Binding,Sales
65173,Karlis,Binkley,Sales
256648,Muzhong,Binkley,Sales
33913,Niteen,Binkley,Sales
430300,Xuedong,Binkley,Sales
73320,Bowen,Biran,Sales
282683,Danny,Biran,Sales
440264,Izaskun,Biran,Sales
247322,Samphel,Biran,Sales
82385,Sanjai,Biran,Sales
216181,Susuma,Biran,Sales
457015,Yoshinari,Biran,Sales
60518,Ziya,Biran,Sales
73949,Gian,Birch,Sales
67367,Karlis,Birch,Sales
55839,Rosalyn,Birch,Sales
486246,Shaw,Birch,Sales
222624,Kenton,Birdsall,Sales
267375,Koichi,Birdsall,Sales
276633,Shin,Birdsall,Sales
87060,Willard,Birdsall,Sales
405736,Zhigen,Birdsall,Sales
402574,Chikako,Birge,Sales
431311,Gritta,Birge,Sales
73761,Mark,Birge,Sales
467909,Marlo,Birge,Sales
288801,Otmar,Birge,Sales
99272,Yuriy,Birge,Sales
96314,Anneke,Birjandi,Sales
92878,Phule,Birjandi,Sales
231956,Spyrose,Birjandi,Sales
107712,Sumant,Birjandi,Sales
62080,Toshimo,Birjandi,Sales
216965,Badri,Birke,Sales
47265,Chikako,Birke,Sales
234166,Isamu,Birke,Sales
298093,Masanao,Birke,Sales
266471,Quingbo,Birke,Sales
20305,Gou,Birnbaum,Sales
33008,Keiichiro,Birnbaum,Sales
80864,Radhia,Birnbaum,Sales
436651,Weijing,Birnbaum,Sales
401749,Kiyotoshi,Biron,Sales
73972,Makato,Biron,Sales
281458,Niranjan,Biron,Sales
203522,Make,Biros,Sales
19708,Ortrud,Biros,Sales
288578,Boguslaw,Birrer,Sales
413876,Tianruo,Birrer,Sales
284492,Armond,Birsak,Sales
75741,Candido,Birsak,Sales
102810,Jiafu,Birsak,Sales
419638,Lein,Birsak,Sales
253126,Alejandro,Birta,Sales
427682,Boalin,Birta,Sales
299794,Feipei,Birta,Sales
58080,Hideyuki,Birta,Sales
472513,Sanjoy,Birta,Sales
455009,Udaiprakash,Birta,Sales
465471,Wilmer,Birta,Sales
89379,Akeel,Bisiani,Sales
255929,Feixiong,Bisiani,Sales
237253,Jianhao,Bisiani,Sales
295506,Aloys,Blokdijk,Sales
30351,Djenana,Blokdijk,Sales
73855,Greger,Blokdijk,Sales
228655,Jiong,Blokdijk,Sales
273015,Parviz,Blokdijk,Sales
415526,Sailaja,Blokdijk,Sales
45005,Tamiya,Blokdijk,Sales
419844,Yefim,Blokdijk,Sales
32776,Charlene,Bodoff,Sales
445659,Jagoda,Bodoff,Sales
491287,Marin,Bodoff,Sales
23370,Morris,Bodoff,Sales
450910,Niranjan,Bodoff,Sales
491433,Remzi,Bodoff,Sales
442149,Utpal,Bodoff,Sales
242162,Yinghua,Bodoff,Sales
270383,Marsha,Boguraev,Sales
414645,Mingzeng,Boguraev,Sales
285559,Sanjai,Boguraev,Sales
266315,Taisook,Boguraev,Sales
12803,Gad,Boissier,Sales
85796,Honglan,Boissier,Sales
458948,Mang,Boissier,Sales
14478,Munehiro,Boissier,Sales
44682,Souichi,Boissier,Sales
262057,Dinah,Bojadziev,Sales
420644,Magdalena,Bojadziev,Sales
440375,Mitsuyuki,Bojadziev,Sales
14354,Mong,Bojadziev,Sales
57821,Alejandra,Bolotov,Sales
